Latitude,Longitude
41.759052575,-87.630942004
41.693783605,-87.612184541
41.880989112,-87.745295384
41.920618159,-87.641320523
41.8928832,-87.768916451
41.709971739,-87.642910529
41.776007672,-87.633327
41.788987036,-87.74147999
41.89031518,-87.619607985
41.906335944,-87.764562311
41.767726292,-87.663867778
41.785930664,-87.723266186
41.834208833,-87.626686261
41.89384679,-87.77066728
41.750472394,-87.634297122
41.876910723,-87.739876309
41.785216573,-87.771020423
41.691607219,-87.62897781
41.808833439,-87.622824022
41.80770414,-87.672232797
41.80766116,-87.689303885
41.935441154,-87.725445154
41.968234567,-87.728571616
41.65631328,-87.602330919
41.805867966,-87.672189321
41.839334391,-87.645096086
41.966656785,-87.705090116
41.717707159,-87.565780227
41.875155116,-87.667906709
41.849954132,-87.685580175
41.895940595,-87.74706821
41.655840935,-87.595837315
41.781626794,-87.641284443
41.869333381,-87.686919244
41.888993854,-87.626934833
41.895854952,-87.68033799
41.977546325,-87.711742685
41.732039617,-87.643502245
41.891694878,-87.626155832
41.795111477,-87.67190382
41.750490827,-87.654302474
41.784379495,-87.706326409
41.839334391,-87.645096086
41.875508384,-87.656975687
41.773647764,-87.691634906
41.912867052,-87.765635915
41.763052784,-87.580521082
41.79175137,-87.645088281
41.761469195,-87.595732307
41.89036711,-87.626673634
41.76677448,-87.566478603
41.873907046,-87.725430093
41.82386008,-87.615162409
41.768125023,-87.637221357
41.895420644,-87.720539406
41.938568095,-87.767017868
41.751545607,-87.648915166
41.748418256,-87.631816504
41.894286155,-87.631192176
41.79830982,-87.729434752
41.941595948,-87.727948605
41.797191495,-87.796590959
41.909760125,-87.63466702
41.782373813,-87.77899427
41.897145664,-87.679535132
41.997573648,-87.698734425
41.89044286,-87.724718758
41.896685066,-87.627683859
41.931649862,-87.651399541
41.896627747,-87.631765231
41.752310405,-87.654319944
41.976762981,-87.900983721
41.72607464,-87.660358644
41.764584875,-87.635863072
41.893259655,-87.628926257
41.755957881,-87.657162192
41.764929409,-87.576272815
41.711584728,-87.636886801
41.871467658,-87.677109262
41.794496075,-87.706029789
41.86602405,-87.735600824
41.906511566,-87.638838917
41.753554412,-87.652606335
41.747480463,-87.583279193
41.974394217,-87.725766249
41.895507092,-87.7568423
41.934122915,-87.757729548
41.929945351,-87.651340522
41.908448701,-87.646088198
41.753682356,-87.653821721
41.845829441,-87.654212809
41.726835601,-87.619116077
41.808147803,-87.664961971
41.772498427,-87.613019177
41.747564118,-87.66579229
41.908952071,-87.632210752
41.75929907,-87.612693997
41.84514013,-87.618847792
41.924142132,-87.699370763
41.873809306,-87.694283701
41.877565108,-87.68479102
41.778921304,-87.706364915
41.960515009,-87.713121552
41.746654086,-87.612377367
41.865448562,-87.72271273
41.881834607,-87.743741637
41.719871565,-87.561146488
41.883111059,-87.747031272
41.805159178,-87.621104073
41.873699424,-87.704705156
41.79406291,-87.735444789
41.860051247,-87.711578706
41.812477488,-87.624544497
41.880309917,-87.735464033
41.769187083,-87.584423038
41.830697249,-87.614476891
41.881834607,-87.743741637
41.930049492,-87.685920733
41.874666806,-87.678919771
41.879217829,-87.699660768
41.943603575,-87.650459838
41.884156374,-87.672682817
41.930539872,-87.638817205
41.755094431,-87.638472661
41.881834607,-87.743741637
